# step rho_core(r<5) rho_core(r<10) rho_core(r<15) total_norm
3420 0.00572259 0.0366924 0.105002 0.998904
3430 0.00560103 0.0359786 0.103882 0.998898
3440 0.00547878 0.0352751 0.102786 0.998899
3450 0.00535584 0.034581 0.101716 0.998899
3460 0.00523246 0.0338958 0.100676 0.998894
3470 0.00510907 0.0332192 0.0996668 0.99889
3480 0.00498623 0.032551 0.0986892 0.998886
3490 0.00486455 0.0318915 0.0977436 0.998883
3500 0.00474466 0.0312415 0.0968291 0.998881
3510 0.00462707 0.0306018 0.0959437 0.998876
3520 0.0045122 0.0299737 0.0950847 0.998877
3530 0.0044003 0.0293582 0.0942479 0.99887
3540 0.00429141 0.0287562 0.0934289 0.998867
3550 0.00418537 0.0281682 0.0926222 0.998865
3560 0.00408189 0.0275943 0.0918224 0.99886
3570 0.00398055 0.0270342 0.0910241 0.998854
3580 0.00388093 0.0264873 0.090223 0.998853
3590 0.00378264 0.0259526 0.0894148 0.998849
3600 0.00368545 0.025429 0.0885968 0.998847
3610 0.00358927 0.0249151 0.087767 0.998843
3620 0.00349427 0.0244095 0.0869244 0.998837
3630 0.0034008 0.0239108 0.086068 0.998838
3640 0.0033094 0.0234175 0.0851971 0.998832
3650 0.00322072 0.0229283 0.084311 0.998829
3660 0.00313544 0.0224422 0.0834088 0.998824
3670 0.00305422 0.0219589 0.0824897 0.998821
3680 0.00297756 0.0214787 0.0815526 0.99882
3690 0.00290586 0.0210025 0.0805967 0.998815
3700 0.00283936 0.0205318 0.0796217 0.998816
3710 0.00277812 0.0200687 0.0786276 0.998808
3720 0.00272211 0.0196157 0.0776149 0.998806
3730 0.00267119 0.019175 0.0765844 0.998804
3740 0.00262515 0.0187487 0.0755381 0.9988
3750 0.00258366 0.0183386 0.0744777 0.998794
3760 0.00254634 0.0179455 0.0734059 0.998793
3770 0.00251277 0.0175698 0.0723255 0.998791
3780 0.00248246 0.017211 0.0712404 0.998787
3790 0.00245495 0.0168683 0.0701541 0.998778
3800 0.00242983 0.0165403 0.0690704 0.998779
3810 0.0024067 0.0162254 0.0679932 0.998775
3820 0.00238526 0.0159219 0.066926 0.998775
3830 0.00236525 0.0156281 0.0658717 0.998766
3840 0.00234645 0.0153424 0.0648324 0.998768
3850 0.00232869 0.0150632 0.0638095 0.998764
3860 0.00231177 0.0147892 0.0628035 0.998759
