# x y rho R
25 6 1.01991e-05 1
26 6 1.01242e-05 1
27 6 8.51785e-06 1
28 6 5.62587e-06 1
29 6 3.32711e-06 1
30 6 2.27069e-06 1
31 6 1.98309e-06 1
32 6 1.89657e-06 1
33 6 1.64327e-06 1
34 6 1.28296e-06 1
35 6 9.55972e-07 1
36 6 7.66097e-07 1
37 6 7.03096e-07 1
38 6 7.42177e-07 1
39 6 8.13701e-07 1
40 6 9.15358e-07 1
41 6 1.07892e-06 1
42 6 1.29084e-06 1
43 6 1.49993e-06 1
44 6 1.70184e-06 1
45 6 1.89475e-06 1
46 6 2.06482e-06 1
47 6 2.18386e-06 1
48 6 2.26835e-06 1
49 6 2.35608e-06 1
50 6 2.48282e-06 1
51 6 2.66314e-06 1
52 6 2.88774e-06 1
53 6 3.15332e-06 1
54 6 3.45359e-06 1
55 6 3.78349e-06 1
56 6 4.11548e-06 1
57 6 4.42888e-06 1
58 6 4.69669e-06 1
59 6 4.91296e-06 1
60 6 5.07353e-06 1
61 6 5.18936e-06 1
62 6 5.2713e-06 1
63 6 5.3336e-06 1
64 6 5.38605e-06 1
65 6 5.43549e-06 1
66 6 5.48701e-06 1
67 6 5.5434e-06 1
68 6 5.60708e-06 1
69 6 5.67957e-06 1
70 6 5.75993e-06 1
71 6 5.84884e-06 1
72 6 5.94768e-06 1
73 6 6.04938e-06 1
74 6 6.15609e-06 1
75 6 6.2617e-06 1
76 6 6.36663e-06 1
77 6 6.46398e-06 1
78 6 6.58003e-06 1
79 6 6.74757e-06 1
80 6 7.05623e-06 1
81 6 7.60127e-06 1
82 6 8.51115e-06 1
83 6 9.87591e-06 1
84 6 1.18155e-05 1
85 6 1.44191e-05 1
86 6 1.76978e-05 1
87 6 2.13745e-05 1
88 6 2.48218e-05 1
89 6 2.72004e-05 1
90 6 2.78299e-05 1
91 6 2.63821e-05 1
92 6 2.31542e-05 1
93 6 1.93832e-05 1
94 6 1.69843e-05 1
95 6 1.75905e-05 1
96 6 2.19397e-05 1
97 6 2.9397e-05 1
98 6 3.72933e-05 1
99 6 4.13659e-05 1
100 6 4.0425e-05 1
101 6 3.97572e-05 1
102 6 4.84041e-05 1
103 6 6.78984e-05 1
104 6 9.20319e-05 1
105 6 0.000116424 1
106 6 0.00013358 1
107 6 0.000133196 1
108 6 0.000122607 1
109 6 0.000115554 1
110 6 0.000101634 1
111 6 8.13027e-05 1
112 6 5.91488e-05 1
113 6 4.29588e-05 1
114 6 5.4467e-05 1
115 6 0.000111245 1
116 6 0.000198906 1
117 6 0.000274393 1
118 6 0.000279102 1
119 6 0.000206359 1
120 6 0.000135056 1
121 6 0.000107919 1
122 6 0.000118254 1
123 6 0.000150788 1
124 6 0.000187504 1
125 6 0.000230956 1
126 6 0.000284095 1
127 6 0.000326434 1
0 7 0.0002546 1
1 7 0.000305503 1
2 7 0.000360554 1
3 7 0.000324398 1
4 7 0.000261857 1
5 7 0.000239522 1
6 7 0.000220342 1
7 7 0.000188891 1
8 7 0.000146991 1
9 7 0.000106215 1
10 7 7.42137e-05 1
11 7 4.9726e-05 1
12 7 3.43503e-05 1
13 7 2.38009e-05 1
14 7 1.5457e-05 1
15 7 9.50879e-06 1
16 7 6.37532e-06 1
17 7 5.84696e-06 1
18 7 6.60216e-06 1
19 7 7.88522e-06 1
20 7 9.3695e-06 1
21 7 1.04886e-05 1
22 7 1.11612e-05 1
23 7 1.10834e-05 1
24 7 1.09076e-05 1
25 7 1.13037e-05 1
26 7 1.26098e-05 1
27 7 1.36414e-05 1
28 7 1.2832e-05 1
29 7 9.72702e-06 1
30 7 5.92938e-06 1
31 7 3.35852e-06 1
32 7 2.34279e-06 1
33 7 2.16677e-06 1
34 7 2.02931e-06 1
35 7 1.70657e-06 1
36 7 1.30418e-06 1
37 7 1.04152e-06 1
38 7 9.31052e-07 1
39 7 9.74979e-07 1
40 7 1.11786e-06 1
41 7 1.28208e-06 1
42 7 1.42501e-06 1
43 7 1.57646e-06 1
44 7 1.71928e-06 1
45 7 1.83571e-06 1
46 7 1.90703e-06 1
47 7 1.95589e-06 1
48 7 2.00398e-06 1
49 7 2.07858e-06 1
50 7 2.16731e-06 1
51 7 2.25652e-06 1
52 7 2.35312e-06 1
53 7 2.47221e-06 1
54 7 2.6233e-06 1
55 7 2.80064e-06 1
56 7 2.99469e-06 1
57 7 3.19099e-06 1
58 7 3.38151e-06 1
59 7 3.55503e-06 1
60 7 3.71582e-06 1
61 7 3.85542e-06 1
62 7 3.97919e-06 1
63 7 4.08176e-06 1
64 7 4.1715e-06 1
65 7 4.24153e-06 1
66 7 4.30101e-06 1
67 7 4.34185e-06 1
68 7 4.37115e-06 1
69 7 4.38394e-06 1
70 7 4.38618e-06 1
71 7 4.37578e-06 1
72 7 4.35877e-06 1
73 7 4.34033e-06 1
74 7 4.3311e-06 1
75 7 4.34207e-06 1
76 7 4.39583e-06 1
77 7 4.5151e-06 1
78 7 4.72021e-06 1
79 7 5.04191e-06 1
80 7 5.50728e-06 1
81 7 6.18284e-06 1
82 7 7.18459e-06 1
83 7 8.72585e-06 1
84 7 1.10113e-05 1
85 7 1.41709e-05 1
86 7 1.81069e-05 1
87 7 2.24971e-05 1
88 7 2.66948e-05 1
89 7 2.98686e-05 1
90 7 3.11135e-05 1
91 7 3.00654e-05 1
92 7 2.7006e-05 1
93 7 2.2851e-05 1
94 7 1.90696e-05 1
95 7 1.79178e-05 1
96 7 2.11279e-05 1
97 7 2.85085e-05 1
98 7 3.77803e-05 1
99 7 4.74772e-05 1
100 7 5.67268e-05 1
101 7 6.43408e-05 1
102 7 7.14771e-05 1
103 7 8.32754e-05 1
104 7 0.000100052 1
105 7 0.000110687 1
106 7 0.000105958 1
107 7 9.12265e-05 1
108 7 8.30173e-05 1
109 7 7.74734e-05 1
110 7 6.86278e-05 1
111 7 5.46311e-05 1
112 7 3.7242e-05 1
113 7 3.59766e-05 1
114 7 7.71098e-05 1
115 7 0.000162616 1
116 7 0.000248401 1
117 7 0.000293678 1
118 7 0.000290555 1
119 7 0.000248666 1
120 7 0.00019144 1
121 7 0.000156823 1
122 7 0.000151036 1
123 7 0.000160872 1
124 7 0.000178877 1
125 7 0.000190923 1
126 7 0.000209684 1
127 7 0.000235418 1
0 8 0.000166567 1
1 8 0.000194888 1
