# step dp_dt_x dp_dt_y F_x F_y ratio_x ratio_y
27900 0.116985 0.0172615 -0.088402 0.0178837 -1.32333 0.965209
28000 0.0891266 0.025177 -0.155784 -0.0140224 -0.572116 -1.79549
28100 0.0692596 0.0209312 -0.0282657 -0.0230326 -2.45031 -0.908765
28200 0.0707054 0.0138206 -0.00706768 -0.000624878 -10.0041 -22.1173
28300 0.106144 0.0053215 -0.0723564 -0.00184736 -1.46696 -2.8806
28400 0.169651 -0.00727463 -0.162174 -0.00588312 -1.0461 1.23652
28500 0.223389 -0.0164795 -0.0589375 -0.0060893 -3.79026 2.7063
28600 0.249023 -0.02071 0.000305712 -0.000801562 814.569 25.837
28700 0.271523 -0.0286484 -0.00160106 -0.001649 -169.589 17.3732
28800 0.302479 -0.0443916 -0.00468599 -0.00468592 -64.5496 9.47341
28900 0.33556 -0.0600586 -0.00378399 -0.00379792 -88.6789 15.8136
29000 0.360558 -0.0661087 -0.00199929 0.00137148 -180.342 -48.2026
29100 0.385662 -0.0709114 -0.000968866 -0.0395812 -398.055 1.79154
29200 0.418896 -0.0734215 -0.000780592 -0.133801 -536.639 0.548738
29300 0.440784 -0.0724182 -0.00173302 -0.115999 -254.345 0.624302
29400 0.428658 -0.0690651 -0.00123746 -0.00166762 -346.402 41.4153
29500 0.375248 -0.0658798 -0.000321062 -0.0290019 -1168.77 2.27157
29600 0.294075 -0.0682144 -0.00035889 -0.111446 -819.401 0.612083
29700 0.210449 -0.0667076 -0.000715439 -0.148052 -294.154 0.450569
29800 0.147594 -0.0625687 -0.000564413 -0.0127502 -261.501 4.90729
29900 0.11969 -0.0615959 -0.000339545 -0.0147704 -352.501 4.17023
30000 0.134624 -0.0620384 -6.56648e-05 -0.0872396 -2050.18 0.711127
30100 0.189411 -0.0571747 -4.18873e-05 -0.165554 -4521.93 0.345353
30200 0.275089 -0.0450401 0.000127987 -0.0366563 2149.35 1.22872
30300 0.372475 -0.0361061 0.000483645 -0.00382735 770.14 9.4337
30400 0.44746 -0.0353546 0.000185464 -0.0629674 2412.65 0.561475
30500 0.477383 -0.0343132 0.000259045 -0.155888 1842.85 0.220115
30600 0.459908 -0.033886 0.00154414 -0.0832376 297.84 0.407099
30700 0.40213 -0.0324173 0.00100255 0.00107223 401.109 -30.2334
30800 0.324493 -0.0330505 -0.0100188 -0.0325809 -32.3885 1.01441
30900 0.266346 -0.0405121 -0.0156353 -0.114337 -17.0349 0.354323
31000 0.232845 -0.0506973 0.0228645 -0.133492 10.1837 0.379778
31100 0.207684 -0.064045 0.00968322 -0.00760314 21.4478 8.42349
31200 0.195293 -0.0800781 -0.0079522 -0.0178315 -24.5584 4.49082
31300 0.216515 -0.104572 -0.0181735 -0.0816368 -11.9137 1.28095
31400 0.274868 -0.131222 0.00388993 -0.158703 70.6614 0.826836
31500 0.32621 -0.151873 0.0258138 -0.0368682 12.637 4.11934
31600 0.341522 -0.164614 -0.00372098 0.000297276 -91.7829 -553.74
31700 0.337212 -0.16711 -0.0182289 0.0572171 -18.4988 -2.92064
31800 0.355808 -0.154299 -0.0214781 0.14931 -16.5661 -1.03341
31900 0.374458 -0.126459 0.0466208 0.115468 8.03201 -1.09519
32000 0.345016 -0.0919399 0.00858302 0.00528725 40.1975 -17.389
32100 0.301033 -0.0575848 -0.0154167 0.0310545 -19.5264 -1.85431
32200 0.29137 -0.0432014 -0.0454564 0.0972007 -6.40989 -0.444456
32300 0.28133 -0.029213 -0.0407959 0.16922 -6.89604 -0.172633
32400 0.238754 0.00449944 0.0117212 0.030284 20.3694 0.148574
32500 0.21479 0.0502491 -0.00963895 0.0112964 -22.2836 4.44823
32600 0.221577 0.105289 -0.0466414 0.0774393 -4.75064 1.35964
32700 0.244572 0.161797 -0.105291 0.19449 -2.32281 0.831902
32800 0.307568 0.181854 -0.00481414 0.0102657 -63.8884 17.7148
32900 0.368305 0.133884 -0.00110413 0.000825405 -333.57 162.204
33000 0.311913 0.0428219 -0.0553437 0.0299585 -5.63592 1.42938
33100 0.17345 -0.0384121 -0.1601 0.0877022 -1.08339 -0.437983
33200 0.0974274 -0.0964737 -0.135052 0.0667288 -0.721405 -1.44576
33300 -0.0867386 -0.17132 -0.0016007 0.00187698 54.1881 -91.2742
33400 -0.574783 -0.259714 -0.0229253 0.0360723 25.072 -7.19982
33500 -1.058 -0.295271 -0.0544633 0.119375 19.426 -2.47348
33600 -1.21837 -0.244247 0.0397408 0.0965697 -30.6579 -2.52923
33700 -1.30415 -0.202087 1.84283e-05 0.000587025 -70768.8 -344.257
33800 -1.59323 -0.20125 -0.000165451 0.0540998 9629.58 -3.71998
33900 -1.80886 -0.184933 -6.18657e-06 0.151774 292385 -1.21848
34000 -1.75583 -0.134905 -6.79466e-05 0.0845623 25841.3 -1.59533
34100 -1.58743 -0.092926 -4.94892e-06 0.000940324 320762 -98.8234
34200 -1.39304 -0.0755482 0.000121553 0.0292831 -11460.4 -2.57992
34300 -1.17032 -0.014473 0.000580263 0.0969284 -2016.88 -0.149316
34400 -0.911961 0.086729 0.00070111 0.109489 -1300.74 0.792125
34500 -0.682709 0.143675 -9.65053e-05 0.0236373 7074.31 6.0783
34600 -0.551615 0.127094 -2.71701e-05 0.00331381 20302.2 38.3529
34700 -0.475979 0.096384 0.000717049 0.0264671 -663.803 3.64165
34800 -0.358337 0.0811768 0.0010695 0.00106928 -335.051 75.9172
34900 -0.240633 0.0388374 0.000319634 0.000319693 -752.84 121.484
35000 -0.189949 -0.0529633 2.05994e-05 2.06436e-05 -9221.09 -2565.6
35100 -0.117754 -0.131344 0.000259979 0.000259891 -452.937 -505.381
35200 0.00393867 -0.174175 0.000978617 0.000978337 4.02474 -178.032
35300 0.0931759 -0.210135 0.00060748 0.00060748 153.381 -345.912
35400 0.108063 -0.228804 6.33944e-05 9.60928e-05 1704.61 -2381.07
35500 0.109356 -0.201883 3.37571e-05 4.70803e-05 3239.5 -4288.06
35600 0.159016 -0.179094 5.59854e-05 0.000106318 2840.31 -1684.52
35700 0.208961 -0.170485 0.000142571 0.000907082 1465.67 -187.948
35800 0.210964 -0.10457 7.90484e-05 9.76255e-05 2668.8 -1071.14
35900 0.227211 -0.0179272 2.55243e-05 6.22945e-05 8901.76 -287.781
36000 0.32723 0.0436649 4.67193e-05 0.00108336 7004.18 40.305
36100 0.41971 0.0721569 0.00010783 0.00154819 3892.32 46.6074
36200 0.4074 0.0637093 6.72038e-05 0.000123943 6062.16 514.021
36300 0.317135 0.0470276 6.57887e-06 6.91738e-07 48205.1 0
36400 0.18367 0.0595589 2.63293e-05 0.00101678 6975.88 58.5761
36500 0.0387039 0.102253 6.53724e-05 0.00206055 592.053 49.624
36600 -0.0683708 0.120214 3.75561e-05 0.000254475 -1820.5 472.402
36700 -0.130524 0.103451 2.04992e-05 1.89981e-05 -6367.27 5445.31
