# Time series data
# step mean_R std_R mean_psi_density max_psi_density
504 0.702939 0.233011 1.78458e-05 0.0230585
505 0.703425 0.232949 1.78458e-05 0.0230585
506 0.703905 0.232903 1.78458e-05 0.0230585
507 0.704389 0.232831 1.78458e-05 0.0230585
508 0.704864 0.232802 1.78458e-05 0.0230585
509 0.705341 0.232754 1.79425e-05 0.0233305
510 0.705823 0.23268 1.79425e-05 0.0233305
511 0.706294 0.232643 1.79425e-05 0.0233305
512 0.706767 0.23259 1.79425e-05 0.0233305
513 0.70724 0.232534 1.79425e-05 0.0233305
514 0.707711 0.23248 1.79425e-05 0.0233305
515 0.708182 0.232427 1.79425e-05 0.0233305
516 0.708651 0.232373 1.79425e-05 0.0233305
517 0.709118 0.232329 1.79425e-05 0.0233305
518 0.709576 0.232293 1.79425e-05 0.0233305
519 0.710044 0.232228 1.80416e-05 0.0233723
520 0.710508 0.232169 1.80416e-05 0.0233723
521 0.710968 0.232108 1.80416e-05 0.0233723
522 0.711428 0.232067 1.80416e-05 0.0233723
523 0.71189 0.232004 1.80416e-05 0.0233723
524 0.712349 0.231953 1.80416e-05 0.0233723
525 0.712804 0.231896 1.80416e-05 0.0233723
526 0.713258 0.231841 1.80416e-05 0.0233723
527 0.713716 0.231774 1.80416e-05 0.0233723
528 0.714164 0.231737 1.80416e-05 0.0233723
529 0.714616 0.231683 1.81432e-05 0.0231715
530 0.715066 0.231611 1.81432e-05 0.0231715
531 0.715512 0.231564 1.81432e-05 0.0231715
